,county,year,race,value
1104,St. Helena Parish,2012,American Indian and Alaska Native alone,88
1105,St. Helena Parish,2013,American Indian and Alaska Native alone,98
1106,St. Helena Parish,2014,American Indian and Alaska Native alone,96
1107,St. Helena Parish,2015,American Indian and Alaska Native alone,94
1108,St. Helena Parish,2016,American Indian and Alaska Native alone,106
1109,St. Helena Parish,2017,American Indian and Alaska Native alone,108
1110,St. Helena Parish,2018,American Indian and Alaska Native alone,108
1111,St. Helena Parish,2019,American Indian and Alaska Native alone,106
1112,St. Helena Parish,2020,American Indian and Alaska Native alone,110
1113,St. James Parish,2000,American Indian and Alaska Native alone,38
1114,St. James Parish,2001,American Indian and Alaska Native alone,40
1115,St. James Parish,2002,American Indian and Alaska Native alone,40
1116,St. James Parish,2003,American Indian and Alaska Native alone,42
1117,St. James Parish,2004,American Indian and Alaska Native alone,56
1118,St. James Parish,2005,American Indian and Alaska Native alone,68
1119,St. James Parish,2006,American Indian and Alaska Native alone,76
1120,St. James Parish,2007,American Indian and Alaska Native alone,86
1121,St. James Parish,2008,American Indian and Alaska Native alone,84
1122,St. James Parish,2009,American Indian and Alaska Native alone,88
1123,St. James Parish,2010,American Indian and Alaska Native alone,86
1124,St. James Parish,2011,American Indian and Alaska Native alone,100
1125,St. James Parish,2012,American Indian and Alaska Native alone,98
1126,St. James Parish,2013,American Indian and Alaska Native alone,106
1127,St. James Parish,2014,American Indian and Alaska Native alone,100
1128,St. James Parish,2015,American Indian and Alaska Native alone,120
1129,St. James Parish,2016,American Indian and Alaska Native alone,124
1130,St. James Parish,2017,American Indian and Alaska Native alone,112
1131,St. James Parish,2018,American Indian and Alaska Native alone,110
1132,St. James Parish,2019,American Indian and Alaska Native alone,128
1133,St. James Parish,2020,American Indian and Alaska Native alone,122
1134,St. John the Baptist Parish,2000,American Indian and Alaska Native alone,228
1135,St. John the Baptist Parish,2001,American Indian and Alaska Native alone,226
1136,St. John the Baptist Parish,2002,American Indian and Alaska Native alone,250
1137,St. John the Baptist Parish,2003,American Indian and Alaska Native alone,254
1138,St. John the Baptist Parish,2004,American Indian and Alaska Native alone,264
1139,St. John the Baptist Parish,2005,American Indian and Alaska Native alone,256
1140,St. John the Baptist Parish,2006,American Indian and Alaska Native alone,268
1141,St. John the Baptist Parish,2007,American Indian and Alaska Native alone,270
1142,St. John the Baptist Parish,2008,American Indian and Alaska Native alone,312
1143,St. John the Baptist Parish,2009,American Indian and Alaska Native alone,320
1144,St. John the Baptist Parish,2010,American Indian and Alaska Native alone,332
1145,St. John the Baptist Parish,2011,American Indian and Alaska Native alone,322
1146,St. John the Baptist Parish,2012,American Indian and Alaska Native alone,322
1147,St. John the Baptist Parish,2013,American Indian and Alaska Native alone,346
1148,St. John the Baptist Parish,2014,American Indian and Alaska Native alone,352
1149,St. John the Baptist Parish,2015,American Indian and Alaska Native alone,368
1150,St. John the Baptist Parish,2016,American Indian and Alaska Native alone,388
1151,St. John the Baptist Parish,2017,American Indian and Alaska Native alone,410
1152,St. John the Baptist Parish,2018,American Indian and Alaska Native alone,414
1153,St. John the Baptist Parish,2019,American Indian and Alaska Native alone,418
1154,St. John the Baptist Parish,2020,American Indian and Alaska Native alone,454
1155,St. Tammany Parish,2000,American Indian and Alaska Native alone,1736
1156,St. Tammany Parish,2001,American Indian and Alaska Native alone,1886
1157,St. Tammany Parish,2002,American Indian and Alaska Native alone,1968
1158,St. Tammany Parish,2003,American Indian and Alaska Native alone,2058
1159,St. Tammany Parish,2004,American Indian and Alaska Native alone,2096
1160,St. Tammany Parish,2005,American Indian and Alaska Native alone,2214
1161,St. Tammany Parish,2006,American Indian and Alaska Native alone,2270
1162,St. Tammany Parish,2007,American Indian and Alaska Native alone,2346
1163,St. Tammany Parish,2008,American Indian and Alaska Native alone,2400
1164,St. Tammany Parish,2009,American Indian and Alaska Native alone,2442
1165,St. Tammany Parish,2010,American Indian and Alaska Native alone,2560
1166,St. Tammany Parish,2011,American Indian and Alaska Native alone,2652
1167,St. Tammany Parish,2012,American Indian and Alaska Native alone,2670
1168,St. Tammany Parish,2013,American Indian and Alaska Native alone,2690
1169,St. Tammany Parish,2014,American Indian and Alaska Native alone,2758
1170,St. Tammany Parish,2015,American Indian and Alaska Native alone,2844
1171,St. Tammany Parish,2016,American Indian and Alaska Native alone,2916
1172,St. Tammany Parish,2017,American Indian and Alaska Native alone,2894
1173,St. Tammany Parish,2018,American Indian and Alaska Native alone,2884
1174,St. Tammany Parish,2019,American Indian and Alaska Native alone,2960
1175,St. Tammany Parish,2020,American Indian and Alaska Native alone,3056
1176,Tangipahoa Parish,2000,American Indian and Alaska Native alone,506
1177,Tangipahoa Parish,2001,American Indian and Alaska Native alone,544
1178,Tangipahoa Parish,2002,American Indian and Alaska Native alone,560
1179,Tangipahoa Parish,2003,American Indian and Alaska Native alone,590
1180,Tangipahoa Parish,2004,American Indian and Alaska Native alone,680
1181,Tangipahoa Parish,2005,American Indian and Alaska Native alone,656
1182,Tangipahoa Parish,2006,American Indian and Alaska Native alone,724
1183,Tangipahoa Parish,2007,American Indian and Alaska Native alone,764
1184,Tangipahoa Parish,2008,American Indian and Alaska Native alone,766
1185,Tangipahoa Parish,2009,American Indian and Alaska Native alone,862
1186,Tangipahoa Parish,2010,American Indian and Alaska Native alone,874
1187,Tangipahoa Parish,2011,American Indian and Alaska Native alone,888
1188,Tangipahoa Parish,2012,American Indian and Alaska Native alone,938
1189,Tangipahoa Parish,2013,American Indian and Alaska Native alone,950
1190,Tangipahoa Parish,2014,American Indian and Alaska Native alone,1014
1191,Tangipahoa Parish,2015,American Indian and Alaska Native alone,1014
1192,Tangipahoa Parish,2016,American Indian and Alaska Native alone,1010
1193,Tangipahoa Parish,2017,American Indian and Alaska Native alone,1064
1194,Tangipahoa Parish,2018,American Indian and Alaska Native alone,1114
1195,Tangipahoa Parish,2019,American Indian and Alaska Native alone,1154
1196,Tangipahoa Parish,2020,American Indian and Alaska Native alone,1232
1197,Washington Parish,2000,American Indian and Alaska Native alone,206
1198,Washington Parish,2001,American Indian and Alaska Native alone,222
1199,Washington Parish,2002,American Indian and Alaska Native alone,226
1200,Washington Parish,2003,American Indian and Alaska Native alone,236
1201,Washington Parish,2004,American Indian and Alaska Native alone,240
1202,Washington Parish,2005,American Indian and Alaska Native alone,268
1203,Washington Parish,2006,American Indian and Alaska Native alone,268
1204,Washington Parish,2007,American Indian and Alaska Native alone,262
1205,Washington Parish,2008,American Indian and Alaska Native alone,282
1206,Washington Parish,2009,American Indian and Alaska Native alone,288
1207,Washington Parish,2010,American Indian and Alaska Native alone,298
1208,Washington Parish,2011,American Indian and Alaska Native alone,318
1209,Washington Parish,2012,American Indian and Alaska Native alone,338
1210,Washington Parish,2013,American Indian and Alaska Native alone,340
1211,Washington Parish,2014,American Indian and Alaska Native alone,330
1212,Washington Parish,2015,American Indian and Alaska Native alone,338
1213,Washington Parish,2016,American Indian and Alaska Native alone,344
1214,Washington Parish,2017,American Indian and Alaska Native alone,362
1215,Washington Parish,2018,American Indian and Alaska Native alone,428
1216,Washington Parish,2019,American Indian and Alaska Native alone,428
1217,Washington Parish,2020,American Indian and Alaska Native alone,420
1218,West Baton Rouge Parish,2000,American Indian and Alaska Native alone,90
1219,West Baton Rouge Parish,2001,American Indian and Alaska Native alone,88
1220,West Baton Rouge Parish,2002,American Indian and Alaska Native alone,88
1221,West Baton Rouge Parish,2003,American Indian and Alaska Native alone,86
1222,West Baton Rouge Parish,2004,American Indian and Alaska Native alone,80
1223,West Baton Rouge Parish,2005,American Indian and Alaska Native alone,66
1224,West Baton Rouge Parish,2006,American Indian and Alaska Native alone,64
1225,West Baton Rouge Parish,2007,American Indian and Alaska Native alone,62
1226,West Baton Rouge Parish,2008,American Indian and Alaska Native alone,60
1227,West Baton Rouge Parish,2009,American Indian and Alaska Native alone,58
1228,West Baton Rouge Parish,2010,American Indian and Alaska Native alone,60
1229,West Baton Rouge Parish,2011,American Indian and Alaska Native alone,76
1230,West Baton Rouge Parish,2012,American Indian and Alaska Native alone,82
1231,West Baton Rouge Parish,2013,American Indian and Alaska Native alone,88
1232,West Baton Rouge Parish,2014,American Indian and Alaska Native alone,88
1233,West Baton Rouge Parish,2015,American Indian and Alaska Native alone,100
1234,West Baton Rouge Parish,2016,American Indian and Alaska Native alone,104
1235,West Baton Rouge Parish,2017,American Indian and Alaska Native alone,128
1236,West Baton Rouge Parish,2018,American Indian and Alaska Native alone,128
1237,West Baton Rouge Parish,2019,American Indian and Alaska Native alone,122
1238,West Baton Rouge Parish,2020,American Indian and Alaska Native alone,126
1239,West Feliciana Parish,2000,American Indian and Alaska Native alone,62
1240,West Feliciana Parish,2001,American Indian and Alaska Native alone,62
1241,West Feliciana Parish,2002,American Indian and Alaska Native alone,56
1242,West Feliciana Parish,2003,American Indian and Alaska Native alone,56
1243,West Feliciana Parish,2004,American Indian and Alaska Native alone,60
1244,West Feliciana Parish,2005,American Indian and Alaska Native alone,40
1245,West Feliciana Parish,2006,American Indian and Alaska Native alone,50
1246,West Feliciana Parish,2007,American Indian and Alaska Native alone,48
1247,West Feliciana Parish,2008,American Indian and Alaska Native alone,50
1248,West Feliciana Parish,2009,American Indian and Alaska Native alone,44
1249,West Feliciana Parish,2010,American Indian and Alaska Native alone,44
1250,West Feliciana Parish,2011,American Indian and Alaska Native alone,46
1251,West Feliciana Parish,2012,American Indian and Alaska Native alone,42
1252,West Feliciana Parish,2013,American Indian and Alaska Native alone,46
1253,West Feliciana Parish,2014,American Indian and Alaska Native alone,44
1254,West Feliciana Parish,2015,American Indian and Alaska Native alone,42
1255,West Feliciana Parish,2016,American Indian and Alaska Native alone,44
1256,West Feliciana Parish,2017,American Indian and Alaska Native alone,52
1257,West Feliciana Parish,2018,American Indian and Alaska Native alone,54
1258,West Feliciana Parish,2019,American Indian and Alaska Native alone,66
1259,West Feliciana Parish,2020,American Indian and Alaska Native alone,68
1260,Ascension Parish,2000,Asian alone,558
1261,Ascension Parish,2001,Asian alone,724
1262,Ascension Parish,2002,Asian alone,882
1263,Ascension Parish,2003,Asian alone,990
1264,Ascension Parish,2004,Asian alone,1098
1265,Ascension Parish,2005,Asian alone,1270
1266,Ascension Parish,2006,Asian alone,1452
1267,Ascension Parish,2007,Asian alone,1656
1268,Ascension Parish,2008,Asian alone,1878
1269,Ascension Parish,2009,Asian alone,1998
1270,Ascension Parish,2010,Asian alone,2172
1271,Ascension Parish,2011,Asian alone,2320
1272,Ascension Parish,2012,Asian alone,2520
1273,Ascension Parish,2013,Asian alone,2618
1274,Ascension Parish,2014,Asian alone,2898
1275,Ascension Parish,2015,Asian alone,3162
1276,Ascension Parish,2016,Asian alone,3346
1277,Ascension Parish,2017,Asian alone,3416
1278,Ascension Parish,2018,Asian alone,3442
1279,Ascension Parish,2019,Asian alone,3518
1280,Ascension Parish,2020,Asian alone,3658
1281,Caddo Parish,2000,Asian alone,3484
1282,Caddo Parish,2001,Asian alone,3598
1283,Caddo Parish,2002,Asian alone,3818
1284,Caddo Parish,2003,Asian alone,4078
1285,Caddo Parish,2004,Asian alone,4418
1286,Caddo Parish,2005,Asian alone,4678
1287,Caddo Parish,2006,Asian alone,4832
1288,Caddo Parish,2007,Asian alone,4898
1289,Caddo Parish,2008,Asian alone,5062
1290,Caddo Parish,2009,Asian alone,5340
1291,Caddo Parish,2010,Asian alone,5566
1292,Caddo Parish,2011,Asian alone,5982
1293,Caddo Parish,2012,Asian alone,6110
1294,Caddo Parish,2013,Asian alone,6004
1295,Caddo Parish,2014,Asian alone,5988
1296,Caddo Parish,2015,Asian alone,6126
1297,Caddo Parish,2016,Asian alone,6324
1298,Caddo Parish,2017,Asian alone,6404
1299,Caddo Parish,2018,Asian alone,6352
1300,Caddo Parish,2019,Asian alone,6554
1301,Caddo Parish,2020,Asian alone,6622
1302,East Baton Rouge Parish,2000,Asian alone,17762
1303,East Baton Rouge Parish,2001,Asian alone,18290
1304,East Baton Rouge Parish,2002,Asian alone,18886
1305,East Baton Rouge Parish,2003,Asian alone,19886
1306,East Baton Rouge Parish,2004,Asian alone,20854
1307,East Baton Rouge Parish,2005,Asian alone,21492
1308,East Baton Rouge Parish,2006,Asian alone,22614
1309,East Baton Rouge Parish,2007,Asian alone,22692
1310,East Baton Rouge Parish,2008,Asian alone,23348
1311,East Baton Rouge Parish,2009,Asian alone,24318
1312,East Baton Rouge Parish,2010,Asian alone,25476
1313,East Baton Rouge Parish,2011,Asian alone,26276
1314,East Baton Rouge Parish,2012,Asian alone,26642
1315,East Baton Rouge Parish,2013,Asian alone,27388
1316,East Baton Rouge Parish,2014,Asian alone,27790
1317,East Baton Rouge Parish,2015,Asian alone,28830
1318,East Baton Rouge Parish,2016,Asian alone,29424
1319,East Baton Rouge Parish,2017,Asian alone,29738
1320,East Baton Rouge Parish,2018,Asian alone,30092
1321,East Baton Rouge Parish,2019,Asian alone,30428
1322,East Baton Rouge Parish,2020,Asian alone,30318
1323,East Feliciana Parish,2000,Asian alone,100
1324,East Feliciana Parish,2001,Asian alone,100
1325,East Feliciana Parish,2002,Asian alone,102
1326,East Feliciana Parish,2003,Asian alone,100
1327,East Feliciana Parish,2004,Asian alone,102
1328,East Feliciana Parish,2005,Asian alone,92
1329,East Feliciana Parish,2006,Asian alone,104
1330,East Feliciana Parish,2007,Asian alone,100
1331,East Feliciana Parish,2008,Asian alone,102
1332,East Feliciana Parish,2009,Asian alone,104
1333,East Feliciana Parish,2010,Asian alone,108
1334,East Feliciana Parish,2011,Asian alone,120
1335,East Feliciana Parish,2012,Asian alone,120
1336,East Feliciana Parish,2013,Asian alone,120
1337,East Feliciana Parish,2014,Asian alone,124
1338,East Feliciana Parish,2015,Asian alone,126
1339,East Feliciana Parish,2016,Asian alone,124
1340,East Feliciana Parish,2017,Asian alone,116
1341,East Feliciana Parish,2018,Asian alone,126
1342,East Feliciana Parish,2019,Asian alone,114
1343,East Feliciana Parish,2020,Asian alone,106
1344,Iberville Parish,2000,Asian alone,180
1345,Iberville Parish,2001,Asian alone,192
1346,Iberville Parish,2002,Asian alone,186
1347,Iberville Parish,2003,Asian alone,190
1348,Iberville Parish,2004,Asian alone,188
1349,Iberville Parish,2005,Asian alone,200
1350,Iberville Parish,2006,Asian alone,204
1351,Iberville Parish,2007,Asian alone,206
1352,Iberville Parish,2008,Asian alone,210
1353,Iberville Parish,2009,Asian alone,216
1354,Iberville Parish,2010,Asian alone,214
1355,Iberville Parish,2011,Asian alone,244
1356,Iberville Parish,2012,Asian alone,248
1357,Iberville Parish,2013,Asian alone,280
1358,Iberville Parish,2014,Asian alone,288
1359,Iberville Parish,2015,Asian alone,264
1360,Iberville Parish,2016,Asian alone,254
1361,Iberville Parish,2017,Asian alone,286
1362,Iberville Parish,2018,Asian alone,294
1363,Iberville Parish,2019,Asian alone,306
1364,Iberville Parish,2020,Asian alone,286
1365,Jefferson Parish,2000,Asian alone,29162
1366,Jefferson Parish,2001,Asian alone,29058
1367,Jefferson Parish,2002,Asian alone,29866
1368,Jefferson Parish,2003,Asian alone,30700
1369,Jefferson Parish,2004,Asian alone,31536
1370,Jefferson Parish,2005,Asian alone,32256
1371,Jefferson Parish,2006,Asian alone,31140
1372,Jefferson Parish,2007,Asian alone,31668
1373,Jefferson Parish,2008,Asian alone,32644
1374,Jefferson Parish,2009,Asian alone,33636
1375,Jefferson Parish,2010,Asian alone,34218
1376,Jefferson Parish,2011,Asian alone,34710
1377,Jefferson Parish,2012,Asian alone,35104
1378,Jefferson Parish,2013,Asian alone,35590
1379,Jefferson Parish,2014,Asian alone,35744
1380,Jefferson Parish,2015,Asian alone,36074
1381,Jefferson Parish,2016,Asian alone,36870
1382,Jefferson Parish,2017,Asian alone,37458
1383,Jefferson Parish,2018,Asian alone,37696
1384,Jefferson Parish,2019,Asian alone,38332
1385,Jefferson Parish,2020,Asian alone,38820
1386,Livingston Parish,2000,Asian alone,328
1387,Livingston Parish,2001,Asian alone,514
1388,Livingston Parish,2002,Asian alone,574
1389,Livingston Parish,2003,Asian alone,692
1390,Livingston Parish,2004,Asian alone,708
1391,Livingston Parish,2005,Asian alone,798
1392,Livingston Parish,2006,Asian alone,898
1393,Livingston Parish,2007,Asian alone,1052
1394,Livingston Parish,2008,Asian alone,1136
1395,Livingston Parish,2009,Asian alone,1244
1396,Livingston Parish,2010,Asian alone,1334
1397,Livingston Parish,2011,Asian alone,1450
1398,Livingston Parish,2012,Asian alone,1528
1399,Livingston Parish,2013,Asian alone,1614
1400,Livingston Parish,2014,Asian alone,1580
1401,Livingston Parish,2015,Asian alone,1690
1402,Livingston Parish,2016,Asian alone,1770
1403,Livingston Parish,2017,Asian alone,1772
1404,Livingston Parish,2018,Asian alone,1868
1405,Livingston Parish,2019,Asian alone,2088
1406,Livingston Parish,2020,Asian alone,2184
1407,Orleans Parish,2000,Asian alone,22574
1408,Orleans Parish,2001,Asian alone,22510
1409,Orleans Parish,2002,Asian alone,22742
1410,Orleans Parish,2003,Asian alone,23242
1411,Orleans Parish,2004,Asian alone,23770
1412,Orleans Parish,2005,Asian alone,24220
1413,Orleans Parish,2006,Asian alone,13684
1414,Orleans Parish,2007,Asian alone,16412
1415,Orleans Parish,2008,Asian alone,17928
1416,Orleans Parish,2009,Asian alone,19570
1417,Orleans Parish,2010,Asian alone,20398
1418,Orleans Parish,2011,Asian alone,21270
1419,Orleans Parish,2012,Asian alone,21750
1420,Orleans Parish,2013,Asian alone,22078
1421,Orleans Parish,2014,Asian alone,22356
1422,Orleans Parish,2015,Asian alone,23006
1423,Orleans Parish,2016,Asian alone,23344
1424,Orleans Parish,2017,Asian alone,23076
1425,Orleans Parish,2018,Asian alone,22974
1426,Orleans Parish,2019,Asian alone,23098
1427,Orleans Parish,2020,Asian alone,23232
1428,Plaquemines Parish,2000,Asian alone,1462
1429,Plaquemines Parish,2001,Asian alone,1532
1430,Plaquemines Parish,2002,Asian alone,1744
1431,Plaquemines Parish,2003,Asian alone,1702
1432,Plaquemines Parish,2004,Asian alone,1802
1433,Plaquemines Parish,2005,Asian alone,1782
1434,Plaquemines Parish,2006,Asian alone,1342
1435,Plaquemines Parish,2007,Asian alone,1296
1436,Plaquemines Parish,2008,Asian alone,1314
1437,Plaquemines Parish,2009,Asian alone,1382
1438,Plaquemines Parish,2010,Asian alone,1520
1439,Plaquemines Parish,2011,Asian alone,1640
1440,Plaquemines Parish,2012,Asian alone,1686
1441,Plaquemines Parish,2013,Asian alone,1746
1442,Plaquemines Parish,2014,Asian alone,1796
1443,Plaquemines Parish,2015,Asian alone,1856
1444,Plaquemines Parish,2016,Asian alone,1982
1445,Plaquemines Parish,2017,Asian alone,2014
1446,Plaquemines Parish,2018,Asian alone,2116
1447,Plaquemines Parish,2019,Asian alone,2062
1448,Plaquemines Parish,2020,Asian alone,2072
1449,Pointe Coupee Parish,2000,Asian alone,114
1450,Pointe Coupee Parish,2001,Asian alone,118
1451,Pointe Coupee Parish,2002,Asian alone,114
1452,Pointe Coupee Parish,2003,Asian alone,116
1453,Pointe Coupee Parish,2004,Asian alone,116
1454,Pointe Coupee Parish,2005,Asian alone,112
1455,Pointe Coupee Parish,2006,Asian alone,116
1456,Pointe Coupee Parish,2007,Asian alone,108
1457,Pointe Coupee Parish,2008,Asian alone,116
1458,Pointe Coupee Parish,2009,Asian alone,116
1459,Pointe Coupee Parish,2010,Asian alone,118
1460,Pointe Coupee Parish,2011,Asian alone,124
1461,Pointe Coupee Parish,2012,Asian alone,138
1462,Pointe Coupee Parish,2013,Asian alone,132
1463,Pointe Coupee Parish,2014,Asian alone,138
1464,Pointe Coupee Parish,2015,Asian alone,144
1465,Pointe Coupee Parish,2016,Asian alone,140
1466,Pointe Coupee Parish,2017,Asian alone,144
1467,Pointe Coupee Parish,2018,Asian alone,144
1468,Pointe Coupee Parish,2019,Asian alone,158
1469,Pointe Coupee Parish,2020,Asian alone,170
1470,St. Bernard Parish,2000,Asian alone,1810
1471,St. Bernard Parish,2001,Asian alone,1748
1472,St. Bernard Parish,2002,Asian alone,1854
1473,St. Bernard Parish,2003,Asian alone,1860
1474,St. Bernard Parish,2004,Asian alone,1864
1475,St. Bernard Parish,2005,Asian alone,1890
1476,St. Bernard Parish,2006,Asian alone,1048
1477,St. Bernard Parish,2007,Asian alone,1086
1478,St. Bernard Parish,2008,Asian alone,1198
1479,St. Bernard Parish,2009,Asian alone,1276
1480,St. Bernard Parish,2010,Asian alone,1484
1481,St. Bernard Parish,2011,Asian alone,1612
1482,St. Bernard Parish,2012,Asian alone,1790
1483,St. Bernard Parish,2013,Asian alone,1956
1484,St. Bernard Parish,2014,Asian alone,2000
1485,St. Bernard Parish,2015,Asian alone,2036
1486,St. Bernard Parish,2016,Asian alone,2094
1487,St. Bernard Parish,2017,Asian alone,2072
1488,St. Bernard Parish,2018,Asian alone,2200
1489,St. Bernard Parish,2019,Asian alone,2208
1490,St. Bernard Parish,2020,Asian alone,2252
1491,St. Charles Parish,2000,Asian alone,566
1492,St. Charles Parish,2001,Asian alone,676
1493,St. Charles Parish,2002,Asian alone,694
1494,St. Charles Parish,2003,Asian alone,756
1495,St. Charles Parish,2004,Asian alone,794
1496,St. Charles Parish,2005,Asian alone,790
1497,St. Charles Parish,2006,Asian alone,864
1498,St. Charles Parish,2007,Asian alone,850
1499,St. Charles Parish,2008,Asian alone,824
1500,St. Charles Parish,2009,Asian alone,864
1501,St. Charles Parish,2010,Asian alone,918
1502,St. Charles Parish,2011,Asian alone,978
1503,St. Charles Parish,2012,Asian alone,976
1504,St. Charles Parish,2013,Asian alone,1044
1505,St. Charles Parish,2014,Asian alone,1008
1506,St. Charles Parish,2015,Asian alone,1144
1507,St. Charles Parish,2016,Asian alone,1148
1508,St. Charles Parish,2017,Asian alone,1180
1509,St. Charles Parish,2018,Asian alone,1158
1510,St. Charles Parish,2019,Asian alone,1174
1511,St. Charles Parish,2020,Asian alone,1232
1512,St. Helena Parish,2000,Asian alone,22
1513,St. Helena Parish,2001,Asian alone,22
1514,St. Helena Parish,2002,Asian alone,22
1515,St. Helena Parish,2003,Asian alone,22
1516,St. Helena Parish,2004,Asian alone,22
1517,St. Helena Parish,2005,Asian alone,18
1518,St. Helena Parish,2006,Asian alone,18
1519,St. Helena Parish,2007,Asian alone,18
1520,St. Helena Parish,2008,Asian alone,18
1521,St. Helena Parish,2009,Asian alone,18
1522,St. Helena Parish,2010,Asian alone,18
1523,St. Helena Parish,2011,Asian alone,18
1524,St. Helena Parish,2012,Asian alone,22
1525,St. Helena Parish,2013,Asian alone,28
1526,St. Helena Parish,2014,Asian alone,36
1527,St. Helena Parish,2015,Asian alone,42
1528,St. Helena Parish,2016,Asian alone,36
1529,St. Helena Parish,2017,Asian alone,36
1530,St. Helena Parish,2018,Asian alone,46
1531,St. Helena Parish,2019,Asian alone,46
1532,St. Helena Parish,2020,Asian alone,48
1533,St. James Parish,2000,Asian alone,20
1534,St. James Parish,2001,Asian alone,20
1535,St. James Parish,2002,Asian alone,24
1536,St. James Parish,2003,Asian alone,32
1537,St. James Parish,2004,Asian alone,38
1538,St. James Parish,2005,Asian alone,74
1539,St. James Parish,2006,Asian alone,78
1540,St. James Parish,2007,Asian alone,84
1541,St. James Parish,2008,Asian alone,90
1542,St. James Parish,2009,Asian alone,96
1543,St. James Parish,2010,Asian alone,108
1544,St. James Parish,2011,Asian alone,106
1545,St. James Parish,2012,Asian alone,128
1546,St. James Parish,2013,Asian alone,142
1547,St. James Parish,2014,Asian alone,156
1548,St. James Parish,2015,Asian alone,152
1549,St. James Parish,2016,Asian alone,158
1550,St. James Parish,2017,Asian alone,158
1551,St. James Parish,2018,Asian alone,158
1552,St. James Parish,2019,Asian alone,154
1553,St. James Parish,2020,Asian alone,162
1554,St. John the Baptist Parish,2000,Asian alone,488
1555,St. John the Baptist Parish,2001,Asian alone,562
1556,St. John the Baptist Parish,2002,Asian alone,550
1557,St. John the Baptist Parish,2003,Asian alone,594
1558,St. John the Baptist Parish,2004,Asian alone,590
1559,St. John the Baptist Parish,2005,Asian alone,604
1560,St. John the Baptist Parish,2006,Asian alone,646
1561,St. John the Baptist Parish,2007,Asian alone,626
1562,St. John the Baptist Parish,2008,Asian alone,628
1563,St. John the Baptist Parish,2009,Asian alone,602
1564,St. John the Baptist Parish,2010,Asian alone,668
1565,St. John the Baptist Parish,2011,Asian alone,732
1566,St. John the Baptist Parish,2012,Asian alone,704
1567,St. John the Baptist Parish,2013,Asian alone,690
1568,St. John the Baptist Parish,2014,Asian alone,778
1569,St. John the Baptist Parish,2015,Asian alone,816
1570,St. John the Baptist Parish,2016,Asian alone,888
1571,St. John the Baptist Parish,2017,Asian alone,940
1572,St. John the Baptist Parish,2018,Asian alone,976
1573,St. John the Baptist Parish,2019,Asian alone,1062
1574,St. John the Baptist Parish,2020,Asian alone,1028
1575,St. Tammany Parish,2000,Asian alone,2910
1576,St. Tammany Parish,2001,Asian alone,3278
1577,St. Tammany Parish,2002,Asian alone,3630
1578,St. Tammany Parish,2003,Asian alone,3882
1579,St. Tammany Parish,2004,Asian alone,4270
1580,St. Tammany Parish,2005,Asian alone,4826
1581,St. Tammany Parish,2006,Asian alone,5498
1582,St. Tammany Parish,2007,Asian alone,5578
1583,St. Tammany Parish,2008,Asian alone,5718
1584,St. Tammany Parish,2009,Asian alone,5962
1585,St. Tammany Parish,2010,Asian alone,6146
1586,St. Tammany Parish,2011,Asian alone,6418
1587,St. Tammany Parish,2012,Asian alone,6728
1588,St. Tammany Parish,2013,Asian alone,6938
1589,St. Tammany Parish,2014,Asian alone,7128
1590,St. Tammany Parish,2015,Asian alone,7428
1591,St. Tammany Parish,2016,Asian alone,7574
1592,St. Tammany Parish,2017,Asian alone,7536
1593,St. Tammany Parish,2018,Asian alone,7610
1594,St. Tammany Parish,2019,Asian alone,7744
1595,St. Tammany Parish,2020,Asian alone,7898
1596,Tangipahoa Parish,2000,Asian alone,816
1597,Tangipahoa Parish,2001,Asian alone,928
1598,Tangipahoa Parish,2002,Asian alone,1020
1599,Tangipahoa Parish,2003,Asian alone,1056
1600,Tangipahoa Parish,2004,Asian alone,1116
1601,Tangipahoa Parish,2005,Asian alone,1128
1602,Tangipahoa Parish,2006,Asian alone,1232
1603,Tangipahoa Parish,2007,Asian alone,1356
1604,Tangipahoa Parish,2008,Asian alone,1432
1605,Tangipahoa Parish,2009,Asian alone,1534
1606,Tangipahoa Parish,2010,Asian alone,1554
1607,Tangipahoa Parish,2011,Asian alone,1682
1608,Tangipahoa Parish,2012,Asian alone,1706
1609,Tangipahoa Parish,2013,Asian alone,1766
1610,Tangipahoa Parish,2014,Asian alone,1862
1611,Tangipahoa Parish,2015,Asian alone,1880
1612,Tangipahoa Parish,2016,Asian alone,1908
1613,Tangipahoa Parish,2017,Asian alone,1868
1614,Tangipahoa Parish,2018,Asian alone,1898
1615,Tangipahoa Parish,2019,Asian alone,1944
1616,Tangipahoa Parish,2020,Asian alone,1996
1617,Washington Parish,2000,Asian alone,148
1618,Washington Parish,2001,Asian alone,158
1619,Washington Parish,2002,Asian alone,168
1620,Washington Parish,2003,Asian alone,166
1621,Washington Parish,2004,Asian alone,172
1622,Washington Parish,2005,Asian alone,192
1623,Washington Parish,2006,Asian alone,210
1624,Washington Parish,2007,Asian alone,202
1625,Washington Parish,2008,Asian alone,222
1626,Washington Parish,2009,Asian alone,222
1627,Washington Parish,2010,Asian alone,210
1628,Washington Parish,2011,Asian alone,238
1629,Washington Parish,2012,Asian alone,260
1630,Washington Parish,2013,Asian alone,266
1631,Washington Parish,2014,Asian alone,248
1632,Washington Parish,2015,Asian alone,252
1633,Washington Parish,2016,Asian alone,254
1634,Washington Parish,2017,Asian alone,262
1635,Washington Parish,2018,Asian alone,288
